C13	000	0.00442505	172032	0.06732738	-2.83440378e-9	6493.3643	-0.82053703	-2.52021434	-1.28988834	-0.0001573563	1.09139e-11	835
C06	000	0.00274467	172032	0.00248073	-1.79436046e-9	6492.9121	1.32870525	3.05265061	-2.54922140	-0.0001802444	6.18456e-11	835
C07	000	0.00176048	172032	-0.06040649	-1.95436712e-9	6492.7642	-2.96696714	-3.02172569	1.50901278	0.00004291534	-4.72937e-11	835
C24	001	0.00078440	172032	0.00548878	-7.08600945e-9	5282.5522	2.37590180	0.57243212	-2.47267067	-0.0009469986	0	835
C30	001	0.00045109	172032	0.02202701	-6.81171231e-9	5282.5742	-1.84167314	0.09261821	-0.98179789	0.0004901886	0	835
C03	000	0.00084305	172032	0.02861833	2.05722855e-9	6493.3936	-0.61545661	0.07526655	2.44708847	0.00050354	8.00355e-11	835
C20	000	0.00052786	172032	0.02590989	-6.80028326e-9	5282.5835	0.27300963	-0.66383917	-2.36666721	-0.0008010864	-3.63798e-12	835
C19	000	0.00068235	172032	0.02591589	-6.80028326e-9	5282.5811	0.27238608	-1.26981626	-2.51477425	0.0009145737	-3.63798e-12	835
C01	000	0.00060654	172032	0.00895222	1.41720189e-9	6493.4697	-0.67246182	2.60427206	0.57007422	-0.0002746582	4.00178e-11	835
C04	000	0.00058603	172032	0.01571731	1.64578284e-9	6493.4888	-0.90579056	2.82688691	0.84884939	-0.0001659393	8.73115e-11	835
C29	000	0.00010204	172032	0.02208093	-6.81171231e-9	5282.5762	-1.84219782	0.84441598	-2.54341430	0.0004968643	3.63798e-12	835
C23	000	0.00022554	172032	0.00549477	-7.08600945e-9	5282.5557	2.37608681	0.24193266	2.54194736	-0.0009651184	-3.63798e-12	835
C05	000	0.00065279	172032	0.03526957	2.05722855e-9	6493.5010	-0.52518544	-1.47114525	3.00006832	0.0003538132	1.09139e-11	835
C21	000	0.00048065	172032	0.02519084	-6.81171231e-9	5282.5796	0.27455859	-0.96708987	1.89191551	-0.000957489	-7.27596e-12	835
C02	000	0.00115156	172032	0.02802511	1.8286476e-9	6493.4341	-0.30702910	-1.40509045	-3.12569296	0.0007448196	-3.63798e-11	835
C14	000	0.00109863	163840	0.02324940	-6.67456374e-9	5282.5903	0.27279429	-0.52033183	-0.81545235	0.0004787445	-1.09139e-11	835
C10	001	0.00769901	172032	-0.05843508	-1.95436712e-9	6493.0151	-2.97340454	-2.46971806	0.78113702	0.0001392365	0	835
C26	000	0.00086212	172032	0.00685498	-7.0745804e-9	5282.5591	2.35147083	0.45905648	-1.63116499	0.0007982254	-3.63798e-12	835
C09	000	0.00861406	172032	0.00741224	-1.79436046e-9	6493.4600	1.37188853	-2.36725593	2.64123628	-0.0004043579	-3.27418e-11	835
C25	000	0.00056505	172032	0.00680105	-7.06315135e-9	5282.5596	2.35089297	0.50851501	3.03892342	-0.0008001328	7.27596e-12	835
C27	000	0.00054598	172032	0.02342916	-6.82314135e-9	5282.5776	-1.80342811	0.94125376	-1.07515612	0.0006561279	7.27596e-12	835
C11	000	0.00223875	155648	0.04742757	-6.69742183e-9	5282.5669	-1.79093718	-1.86609250	1.49355200	-0.000292778	2.18279e-11	835
C16	000	0.00398874	172032	0.01785650	-1.72578617e-9	6493.6528	1.31861640	-2.46659729	3.09123644	0.00004482269	1.09139e-11	835
C12	000	0.00133371	143360	0.04602542	-6.70885088e-9	5282.5679	-1.80245926	-1.79290259	0.52909978	-0.0004320145	-3.63798e-12	835
C08	000	0.00211477	172032	0.10576078	-2.73154235e-9	6492.8306	-0.79700451	-2.98962482	-0.68157658	0.00003147125	2.91038e-11	835
C22	000	0.00038052	172032	0.02520283	-6.81171231e-9	5282.5815	0.27447545	0.13573970	1.57049747	-0.0009613037	3.63798e-12	835
C28	000	0.00019932	172032	0.02330932	-6.82314135e-9	5282.5923	-1.80360338	-1.86025131	2.50843684	0.00001621246	3.63798e-12	835
